# case_id	case_type	artifact_ref	artifact_sha3_256	first_required_by_baseline	introduced_in_release	introduced_in_corpus_revision	construction	parent_case_id	payload_transcript_kind	payload_origin_ids	credential_id	outcome	expectation_scope	capability_id	condition_id	diagnostic_class	expected_ref	expected_sha3_256
fcr-argon2id-empty	fcr_decrypt	artifacts/fcr/fcr-argon2id-empty.fcr	c02dc31dacd9130386eed0fbc84adb08e25ab11756dab98f03441fafef54da9c	0.3.0	0.3.0	1	original	-	origins	origin-argon2id-empty	passphrase-main	accept	invariant	-	-	-	expected/plaintext/fcr-argon2id-empty.bin	a7ffc6f8bf1ed76651c14756a061d662f580ff4de43b49fa82d80a4b80f8434a
fcr-argon2id-one-byte	fcr_decrypt	artifacts/fcr/fcr-argon2id-one-byte.fcr	262a770dc85ef18bcf8e302581d2b558ad42bbce872cb1dacb89bd0c2ea3a9c5	0.3.0	0.3.0	1	original	-	origins	origin-argon2id-one-byte	passphrase-main	accept	invariant	-	-	-	expected/plaintext/fcr-argon2id-one-byte.bin	cc7fd2d0b9381e25d5f1394227a8a4df0f82d374567632ddae402323ac71427b
fcr-argon2id-chunk-exact	fcr_decrypt	artifacts/fcr/fcr-argon2id-chunk-exact.fcr	89fe4eb162feb55690655a9fdc898270e14626270d7433aef07e244eaf0d9618	0.3.0	0.3.0	1	original	-	origins	origin-argon2id-chunk-exact	passphrase-main	accept	invariant	-	-	-	expected/plaintext/fcr-argon2id-chunk-exact.bin	31616fa901bd5550af2e100fa94307ed7d49d07b95dab3e2b7f372a3e700e6ba
fcr-argon2id-chunk-plus-one	fcr_decrypt	artifacts/fcr/fcr-argon2id-chunk-plus-one.fcr	76e805d082515dc8d8308f4bbc0d318c27d36b7bfbfcd4a68e74448d5b6363c3	0.3.0	0.3.0	1	original	-	origins	origin-argon2id-chunk-plus-one	passphrase-main	accept	invariant	-	-	-	expected/plaintext/fcr-argon2id-chunk-plus-one.bin	91902cbeb9cf52ee0ff0f3b909c86dd158b6ef2d0528b6eb185731c22f628b10
fcr-argon2id-multi-chunk	fcr_decrypt	artifacts/fcr/fcr-argon2id-multi-chunk.fcr	ec4b0390bff546210861b6f4326604247661162dd67c6168b72435235733f786	0.3.0	0.3.0	1	original	-	origins	origin-argon2id-multi-chunk	passphrase-main	accept	invariant	-	-	-	expected/plaintext/fcr-argon2id-multi-chunk.bin	7fd76e391e002cedbc250ecb27e71953b72ef2f3843e31a76d18f14e21576c78
fcr-x25519-single	fcr_decrypt	artifacts/fcr/fcr-x25519-single.fcr	0e7e478ca586b98ccc17ddb8f8a93b317a171a502b80a041cb20749544f834a7	0.3.0	0.3.0	1	original	-	origins	origin-x25519-single	private-key-a	accept	invariant	-	-	-	expected/plaintext/fcr-x25519-single.bin	2fdb629f80ec4e7d21d12d46a1ddd4cc51bf17b2f624dde927c1ed0e7fbcdc73
fcr-x25519-multi-first	fcr_decrypt	artifacts/fcr/fcr-x25519-multi-first.fcr	c445dcc8fb75ad1d238ffb5104c968f88280def101b64c18a52eaf21b4ff60a4	0.3.0	0.3.0	1	original	-	origins	origin-x25519-multi	private-key-a	accept	invariant	-	-	-	expected/plaintext/fcr-x25519-multi-first.bin	2fdb629f80ec4e7d21d12d46a1ddd4cc51bf17b2f624dde927c1ed0e7fbcdc73
fcr-x25519-multi-second	fcr_decrypt	artifacts/fcr/fcr-x25519-multi-second.fcr	c445dcc8fb75ad1d238ffb5104c968f88280def101b64c18a52eaf21b4ff60a4	0.3.0	0.3.0	1	original	-	origins	origin-x25519-multi	private-key-b	accept	invariant	-	-	-	expected/plaintext/fcr-x25519-multi-second.bin	2fdb629f80ec4e7d21d12d46a1ddd4cc51bf17b2f624dde927c1ed0e7fbcdc73
prefix-bad-magic	fcr_decrypt	artifacts/fcr/prefix-bad-magic.fcr	9a9b4ac5a4adb5515c2f98ea2535a805468d03feca25180057ce50a3544cf4f5	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	prefix_magic_mismatch	bad_magic	-	-
prefix-version-zero	fcr_decrypt	artifacts/fcr/prefix-version-zero.fcr	4751bc2a344ce0f7b0cc9d37620d4712460e47ed26950c1462e72e0820a39e72	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	outer_version_reserved_zero	malformed_header	-	-
prefix-wrong-kind	fcr_decrypt	artifacts/fcr/prefix-wrong-kind.fcr	618ef0b6e2ef23ae2f994c39a75cf9b7dd496b186e6aa5d37b244324b2c9ac40	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	prefix_kind_not_encrypted	wrong_kind	-	-
prefix-nonzero-flags	fcr_decrypt	artifacts/fcr/prefix-nonzero-flags.fcr	fae99f3c656d49d23f2a0a13f510155cbd3948299faac074d559421a4908ca89	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	prefix_flags_nonzero	malformed_header	-	-
prefix-header-len-over-structural-max	fcr_decrypt	artifacts/fcr/prefix-header-len-over-structural-max.fcr	e18279384e0c4876b2b1a0045bba3ef601edd9bc72a657fa581a6e076c6661ad	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	invariant	-	prefix_header_len_above_structural_maximum	oversized_header	-	-
prefix-newer-outer-version	fcr_decrypt	artifacts/fcr/prefix-newer-outer-version.fcr	c106b8476e57bbbabfea4ecf7960316cfbff8e351654122ef0ecf8e5954ac54e	0.3.0	0.3.0	1	mutation	fcr-argon2id-one-byte	origins	origin-argon2id-one-byte	passphrase-main	reject	capability_relative	outer_version:0x02	outer_version_unsupported	unsupported_outer_version	-	-
framing-truncated-in-prefix	fcr_decrypt	artifacts/fcr/framing-truncated-in-prefix.fcr	58d47fef21b23472b2f554be0fccacf86e825b31e778a5909bc1e74ad8949673	0.3.0	0.3.0	1	fabricated	-	none	-	passphrase-main	reject	invariant	-	framing_ends_before_declared_region	truncated	-	-
framing-truncated-in-header	fcr_decrypt	artifacts/fcr/framing-truncated-in-header.fcr	fb07794f1a52b0ddd2db99f4f5b280b4e3ee7692c82f10955858d33606defedb	0.3.0	0.3.0	1	fabricated	-	none	-	passphrase-main	reject	invariant	-	framing_ends_before_declared_region	truncated	-	-
framing-truncated-in-header-mac	fcr_decrypt	artifacts/fcr/framing-truncated-in-header-mac.fcr	da04d4aacdd38eee8a101be12f55a5c3435786e7ccea6c06d3627b31cbc8d679	0.3.0	0.3.0	1	fabricated	-	none	-	passphrase-main	reject	invariant	-	framing_ends_before_declared_region	truncated	-	-
